Axiom validation log 2026-03-08_2157

Session summary
- Results processed: 2972
- Batch 1 recovered from partial run: 2900 rows at mod_time 2026-03-08 21:53:53
- Batch 2 processed directly: 72 rows
- Denied sentinel (0.01): 540
- Denied empty_payload: 162
- Denied retired_experiment: 365
- Denied stub_filter: 13

Sampling and review notes
- Spot-checked 200 sanitized JSON files for payload quality and cross-host duplication
- No cross-host duplicate payloads were found in the sample
- Denied structural empty payloads when sanitized JSON lacked top-level experiment data
- Retired experiment families were denied per retired_experiments.txt

Results reviewed this session
- result 1933316 (host 87): exp_minority_game_delay_memory_interaction_6378ae_0 — nbytes=34597, elapsed=97.0s, payload=ok -> 4.40 credit
- result 1933320 (host 87): exp_minority_game_delay_memory_interaction_1f1d59_0 — nbytes=34611, elapsed=96.1s, payload=ok -> 4.40 credit
- result 1933339 (host 85): exp_minority_game_delay_memory_interaction_2cba04_0 — nbytes=34645, elapsed=89.1s, payload=ok -> 4.40 credit
- result 1933352 (host 85): exp_minority_game_delay_memory_interaction_5f21d5_0 — nbytes=34601, elapsed=89.1s, payload=ok -> 4.40 credit
- result 1933371 (host 85): exp_minority_game_delay_memory_interaction_4d8583_0 — nbytes=34609, elapsed=167.9s, payload=ok -> 4.40 credit
- result 1933416 (host 85): exp_minority_game_delay_memory_interaction_d99bee_0 — nbytes=34601, elapsed=164.3s, payload=ok -> 4.40 credit
- result 1933426 (host 85): exp_minority_game_delay_memory_interaction_146781_0 — nbytes=34587, elapsed=89.1s, payload=ok -> 4.39 credit
- result 1933430 (host 85): exp_minority_game_delay_memory_interaction_ded9ce_0 — nbytes=34620, elapsed=93.4s, payload=ok -> 4.40 credit
- result 1933445 (host 87): exp_minority_game_delay_memory_interaction_c1d191_0 — nbytes=34632, elapsed=97.0s, payload=ok -> 4.40 credit
- result 1933951 (host 87): exp_minority_game_delay_memory_interaction_dfe98a_0 — nbytes=34621, elapsed=56.4s, payload=ok -> 4.40 credit
- result 1934001 (host 345): exp_minority_game_delay_memory_interaction_5a9aba_0 — nbytes=34634, elapsed=882.9s, payload=ok -> 4.40 credit
- result 1934007 (host 345): exp_minority_game_delay_memory_interaction_d690a1_0 — nbytes=34635, elapsed=550.7s, payload=ok -> 4.40 credit
